tag,room,old_activity,keel_score,comment
6893,11,L,.,no data
6894,11,L,.,no data
6891,11,L,.,no data
6892,11,M,.,no data
6900,11,M,.,no data
6882,11,H,.,no data
6887,11,H,.,no data
6949,8,L,1,
6961,8,L,1,
6997,8,L,0,
6929,8,L,1,
6939,8,L,0,
7000,8,M,1,
6979,8,M,2,
6940,8,M,0,
6950,8,M,2,
9023,8,M,1,
6931,8,M,1,
6936,8,M,1,
6928,8,M,1,
6945,8,M,0,
6996,8,M,1,
6913,8,H,2,
6984,8,H,2,
6982,8,H,2,
6973,8,H,2,
9012,8,H,2,
6992,3,L,0,
6922,3,L,0,
6976,3,M,1,
6934,3,M,.,died 'no data'
6980,3,H,2,
9013,3,H,1,
6986,2,L,1,
6942,2,L,0,
6988,2,L,0,
9019,2,M,1,
9026,2,M,2,
6935,2,M,2,
9001,2,M,1,
6989,2,M,2,
6925,2,H,2,
6981,2,H,2,
