"low_act","med_act","high_act"
6860,6941,6951
6971,6903,6926
6964,6999,9002
9014,9012,9021
6958,6872,9030
6986,6981,6970
6993,6982,9017
9047,9003,9041
9053,9035,6901
9024,6855,6853
6928,6923,9020
6931,9044,9056
6942,6962,6904
6983,6975,9022
6945,9027,9045
6961,9038,6956
6994,9007,6984
6997,6890,6965
9042,6937,9061
9043,9026,6913
9046,6985,9054
6909,6877,6919
6988,6925,6960
6939,6935,6973
6996,6978,9005
9032,7000,6886
6929,9033,NA
6990,9006,NA
NA,9048,NA
NA,9055,NA
NA,9019,NA
NA,9058,NA
NA,6946,NA
NA,6955,NA
NA,6940,NA
NA,6979,NA
NA,6989,NA
NA,9001,NA
NA,9050,NA
NA,9023,NA
NA,6911,NA
NA,6952,NA
NA,9025,NA
NA,9015,NA
NA,6917,NA
NA,6950,NA
NA,9023,NA
NA,6957,NA
NA,6916,NA
NA,6932,NA
NA,9049,NA
NA,9052,NA
NA,6908,NA
